,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
?èŒ,16009812,4.162102668,3582376554,4.036593318,5.401229853,7.325898354,1.589791566,2.550760771,-0.960969205
òÙ,79203285,4.188926705,3385354531,4.036342633,5.477756304,7.322530555,2.093134213,2.540205124,-0.447070911
ft,296512830,4.204604657,2844269079,4.035548531,5.526649771,7.312007351,2.414724547,2.50722239,-0.092497843
100,190070118,4.199857243,2333873945,4.03460436,5.511423267,7.299767781,2.314574223,2.468860074,-0.154285851
íÜ,69710725,4.187135934,2271187217,4.034470737,5.472401125,7.298058354,2.057911227,2.463502241,-0.405591013
ïƒ,46711644,4.181157845,1928366505,4.033648502,5.454809674,7.287658091,1.942205781,2.430904842,-0.488699061
?,31121556,4.174490261,1864088811,4.033473961,5.435661779,7.285475893,1.816263022,2.424065206,-0.607802183
??,5947840,4.139652801,1499840615,4.032319224,5.341906368,7.271252914,1.199599162,2.379486319,-1.179887157
â∆íÎ,2388258,4.113780403,1328430259,4.031647202,5.277349264,7.263139215,0.774983311,2.354055663,-1.579072351
?,141637296,4.196432873,1061488770,4.030350808,5.500681472,7.247804759,2.243921482,2.30599309,-0.062071608
0,63356706,4.185759628,897643825,4.029333993,5.468313015,7.236052341,2.031022227,2.269157647,-0.238135421
11,41063060,4.179110345,895526940,4.029319371,5.448879311,7.23588502,1.9031996,2.268633216,-0.365433616
íÜçë,9660552,4.151303227,857051780,4.029045853,5.372249395,7.232763702,1.399176421,2.25885011,-0.85967369
12,92391885,4.191016775,824126912,4.028799347,5.484059906,7.229964413,2.134595324,2.250076339,-0.115481014
?,2009485,4.108227146,820731872,4.028773231,5.263928636,7.229668608,0.686710903,2.2491492,-1.562438297
60,1304010,4.09328875,773835768,4.028398108,5.228486787,7.225435449,0.453596808,2.235881267,-1.782284459
?,39365768,4.178426128,767565981,4.02834581,5.446907739,7.224847619,1.890231841,2.234038841,-0.343807
?,803794,4.074668305,743788259,4.028142527,5.185517796,7.222568032,0.170973931,2.226893962,-2.055920031
Q,46392018,4.181050328,741703732,4.028124321,5.454497108,7.222364276,1.940149918,2.226255334,-0.286105416
??,164450,3.99634018,701723384,4.027762261,5.0161294,7.218326346,-0.94315592,2.213599305,-3.156755225
ëæ,41068370,4.179112431,693363204,4.027683295,5.448885328,7.217449156,1.903239175,2.210849939,-0.307610763
ñGà°,1881651,4.106053393,685641424,4.027609297,5.258712877,7.216628281,0.652404935,2.208277082,-1.555872147
â∆,6244959,4.14088475,642788835,4.027178855,5.345073661,7.21187468,1.220431609,2.193377936,-0.972946327
?,14082057,4.159480243,614007961,4.026869149,5.394110176,7.20847667,1.542962825,2.182727598,-0.639764773
??,64348191,4.185985352,579795376,4.026476567,5.468981882,7.204195543,2.035421606,2.16930932,-0.133887714
??,30131650,4.173931631,541598561,4.026002633,5.434078357,7.199065485,1.805848275,2.15323025,-0.347381976
ùQ,7967036,4.146832205,533456668,4.025896209,5.360499092,7.197919155,1.321890354,2.149637325,-0.827746971
30,6815685,4.143059763,526938076,4.025809533,5.350688568,7.196987053,1.257362924,2.146715851,-0.889352927
??,14148180,4.159577394,521202700,4.025732158,5.394372954,7.19615612,1.544691213,2.144111468,-0.599420255
â»ïÅ,4290472,4.131022972,514231068,4.025636664,5.31997205,7.195132075,1.05532907,2.140901819,-1.085572749
?,2608020,4.116525497,514231068,4.025636664,5.284035997,7.195132075,0.818964421,2.140901819,-1.321937398
ïÉéq,533558,4.057152225,514231068,4.025636664,5.146171578,7.195132075,-0.087820631,2.140901819,-2.22872245
fyp,2642370,4.116928711,496845300,4.02539132,5.285021194,7.192508535,0.825444422,2.132678892,-1.30723447
V,63356706,4.185759628,494655492,4.025359659,5.468313015,7.192170757,2.031022227,2.131620201,-0.100597974
?,15560778,4.161528008,489246096,4.025280696,5.399664957,7.191329075,1.579498668,2.128982128,-0.54948346
feat,58568649,4.184604588,478980168,4.025127802,5.464900145,7.189702469,2.008574521,2.123883881,-0.115309359
AI,882156,4.078414853,470360296,4.024996234,5.194063896,7.188305995,0.227184781,2.11950693,-1.892322149
èŒ,12509560,4.156988707,462242136,4.024869546,5.387396081,7.186964138,1.498801751,2.115301167,-0.616499416
?,39365768,4.178426128,438609132,4.024484355,5.446907739,7.182901118,1.890231841,2.102566499,-0.212334658
?,748932,4.071765746,438609132,4.024484355,5.178929537,7.182901118,0.127640527,2.102566499,-1.974925971
?,59048652,4.184725558,430930024,4.024353588,5.465256825,7.181527483,2.010920536,2.098261132,-0.087340596
??,73019,3.9434145,412307861,4.024024032,4.909473876,7.178078318,-1.644668578,2.087450463,-3.732119041
?,4574232,4.132767712,404461869,4.023879577,5.324372047,7.176572087,1.084269472,2.082729502,-0.998460029
Mr,36702006,4.177275326,396911675,4.023737231,5.44360295,7.175091181,1.868495026,2.07808792,-0.209592895
??,38284040,4.177970749,386856115,4.02354232,5.445598342,7.173068744,1.881619454,2.071749023,-0.190129569
?,15560778,4.161528008,382185000,4.023449617,5.399664957,7.172108984,1.579498668,2.06874086,-0.489242192
??,950358,4.081355495,369594240,4.023192538,5.200805738,7.169454612,0.271528355,2.0604213,-1.788892945
êÆ,2101785,4.109693113,365941691,4.023115911,5.267457905,7.168665451,0.709924204,2.057947842,-1.348023638
Vision,4800744,4.134067147,347937288,4.022723743,5.327660198,7.164641054,1.105896853,2.045334232,-0.939437379
à°,5061892,4.13547438,342820712,4.022607657,5.331232042,7.16345437,1.129390187,2.041614824,-0.912224637
?,30604184,4.174201079,341325232,4.022573319,5.434841713,7.163103747,1.810869147,2.04051587,-0.229646723
?,26942342,4.171965031,336893220,4.022470442,5.428528394,7.162054368,1.76934412,2.037226815,-0.267882695
?,1205691,4.090414102,333422323,4.022388689,5.221769812,7.161221618,0.409416795,2.03461674,-1.625199945
