,tot_view,totdat_YJwordview_before_x
S,303641354,4.204844558826223
🟨,223936076,4.201665793773531
tiktok,195261902,4.200159300418032
OMG,168601840,4.198490400060865
🎁,168601840,4.198490400060865
R,151820677,4.1972627361335295
W,151820677,4.1972627361335295
T,151820677,4.1972627361335295
까,149282314,4.197062453756605
짜,149282314,4.197062453756605
🤭,142107111,4.19647276304484
ratinobeatbox7897,97630951,4.1917469953209165
😙,97630951,4.1917469953209165
Sigma,97630951,4.1917469953209165
Gi,76257806,4.18840070539937
감,74641157,4.188101219144615
난,74641157,4.188101219144615
은,74641157,4.188101219144615
🥢,65751242,4.18629753556553
J,62846048,4.185641660352316
🪫,62368277,4.185530212874497
🗿,58481354,4.184582456599078
🍷,58481354,4.184582456599078
vi,56425214,4.184049051751395
Chris,56425214,4.184049051751395
🫡,56425214,4.184049051751395
交通安全,51997708,4.182814256122198
一槍,42335352,4.17960072087802
手裝,42335352,4.17960072087802
一劫,42335352,4.17960072087802
躲過,42335352,4.17960072087802
GO,38284040,4.177970749449415
il,36639518,4.177247101096584
Netflix,29246410,4.17341251335821
조,26942342,4.171965031260691
놀,26942342,4.171965031260691
猿,25998854,4.171327466754394
youtube,23641582,4.1696011303601965
蔡天鳳,21420444,4.167767782560128
😇,20407835,4.166852201828909
reaction,20407835,4.166852201828909
🐟,20349434,4.166797691933803
깐,19682884,4.166161523467596
쉽,19682884,4.166161523467596
띠,19682884,4.166161523467596
3D,19168836,4.165652446098334
白紙,19066677,4.16554926476177
😤,15464006,4.1614014761481695
🎱,15464006,4.1614014761481695
TXT,14259041,4.159739023539216
第四,14241402,4.159713410778267
完結,13023626,4.157843910632589
巨人,13023626,4.157843910632589
井,12824231,4.157517229523972
用手,12824231,4.157517229523972
日軍往,12824231,4.157517229523972
井裡,12824231,4.157517229523972
刻,12824231,4.157517229523972
藏身,12824231,4.157517229523972
포,12758775,4.157408618313364
清,12389540,4.156782776287768
NMIXX,12183553,4.156423533958799
🛏,11687663,4.155527027424693
ngl,10622538,4.153431833290999
112,10265765,4.152671241764153
LESSERAFIM,10265765,4.152671241764153
Kep1er,10265765,4.152671241764153
鬼滅,10039472,4.152171682740469
club,9492775,4.150905144319249
主,9456110,4.150816991496684
ペ,9456110,4.150816991496684
Tom,9329564,4.1505094649416545
425,8380609,4.148025890149744
版本,8291934,4.147776167548612
부,7951588,4.146786141824862
팅,7951588,4.146786141824862
석,7951588,4.146786141824862
팡,7780389,4.146268139704912
점,7780389,4.146268139704912
KARA,7780389,4.146268139704912
Step,7780389,4.146268139704912
맘,7780389,4.146268139704912
cc,7778457,4.146262213848504
🍝,7730560,4.146114719526483
🌿,6983145,4.143655553238773
FIFA,6703187,4.142649266405317
™,6703187,4.142649266405317
神作,6673092,4.142538007377113
阿米,6673092,4.142538007377113
屍案,6647724,4.142443741140453
小菌,6607513,4.14229340484071
Ditto,6597640,4.14225631990708
TV,6511813,4.141931020476065
ฤ,6284614,4.141043686555308
ฎ,6284614,4.141043686555308
พ,6284614,4.141043686555308
ษ,6284614,4.141043686555308
ม,6284614,4.141043686555308
ท,6284614,4.141043686555308
無碼,6194770,4.140681795574428
瞞,6074075,4.140185299195529
game,6069669,4.140166944340701
永順街,5496099,4.137626269751483
👑,5197440,4.136169898803185
跨年,5128686,4.135819948798835
刃,5019736,4.1352533662415345
上弦,5019736,4.1352533662415345
ャ,4728055,4.1336585502844265
岳,4620582,4.133039990158559
Performance,4252925,4.130781446430237
1theKILLPO,4252925,4.130781446430237
혜,4252925,4.130781446430237
먼,4252925,4.130781446430237
엘,4252925,4.130781446430237
問,4229842,4.130631651153578
獸,4179360,4.130300503673093
골,4089411,4.129698036516699
♪,4089411,4.129698036516699
든,4089411,4.129698036516699
孙俪,4073142,4.1295873201340205
恐怖片,4007376,4.12913412578545
龔,3940578,4.1286643155035145
講究,3873707,4.1281840320087575
吃個,3873707,4.1281840320087575
還挺,3873707,4.1281840320087575
莉,3848816,4.128002636134421
飛越,3764763,4.12737921204597
駕,3714122,4.1269952445532665
蔡天鳳碎,3693180,4.12683456415355
举动,3543928,4.125655818875761
氣球,3494085,4.125248442219448
aka,3440606,4.124803286268459
갓,3434076,4.124748345656392
阿姨,3341052,4.123951380404009
對人類,3336546,4.123912081744938
鐘,3336546,4.123912081744938
人生在世,3336546,4.123912081744938
真諦,3336546,4.123912081744938
三十分,3336546,4.123912081744938
三十,3336546,4.123912081744938
探,3244518,4.1230948249221795
音名,3244518,4.1230948249221795
原,3183394,4.122536016398883
這首,3164994,4.122365199056593
抬頭,3110868,4.121855518425829
张,3080388,4.12156365511567
🎯,3022201,4.120996445827951
⚡,3017788,4.120952878047913
答,3011254,4.120888225733263
肢解,2954544,4.120319712755127
chatGPT,2933455,4.12010484850679
成龍,2830604,4.119028898082156
大獎,2788429,4.118573638922934
中大獎,2788429,4.118573638922934
千萬别,2788429,4.118573638922934
彩票,2788429,4.118573638922934
奧斯佩,2763978,4.118305788273586
超長,2763978,4.118305788273586
潘大陸,2763978,4.118305788273586
曾以,2723811,4.117859358580599
台人過,2723811,4.117859358580599
東森新聞,2723811,4.117859358580599
悟空,2671584,4.11726657385547
拿捏,2627052,4.116749706718813
王鶴,2627052,4.116749706718813
梁朝,2608020,4.116525496675269
