,tot_view,totdat_YJwordview_after_x
는,986870547,4.029913902475234
💔,812891670,4.02871240488276
👨,529081182,4.025838176080105
i,464858877,4.024910682530522
救,428525890,4.024312050070071
세,408864258,4.023961056651752
You,403618392,4.023863839826181
P,403618392,4.023863839826181
父,385673301,4.023518978286028
đ,364841890,4.023092650806404
공,361631790,4.023024256812386
b,361548045,4.023022462431302
ó,325646160,4.02220161737934
😅,313807624,4.021905856755014
g,309905918,4.021805319045085
M,309905918,4.021805319045085
ng,309905918,4.021805319045085
🍳,302332104,4.021605578513959
喜剧,299968123,4.021541953502227
국,296864820,4.0214574747597505
정,296864820,4.0214574747597505
普,257115534,4.020267239825328
整個,231121068,4.019357097357383
퀸,222941250,4.01904394886459
틴,220997205,4.018967414041052
븐,220997205,4.018967414041052
ChefRush,211915352,4.018598411670853
👆,198294044,4.018006342286009
🇷,193214099,4.017772412093533
💕,187723744,4.017510802220907
JISOO,187162900,4.017483542370715
CIA,179617563,4.017106594985231
ع,179535097,4.017102366649412
Do,179528765,4.01710204188434
르,168012775,4.0164865659727225
RE,167824428,4.01647606587571
ñ,162823080,4.016191750898663
live,158861751,4.015958718549314
ị,156360810,4.015807832949734
💯,156360810,4.015807832949734
n,154952959,4.0157215653051255
ح,153887226,4.015655608903098
FLOWER,149730320,4.015392795113901
👠,144948844,4.01507900913275
19,141696120,4.014858077658274
프,141531836,4.014846751767384
워,141531836,4.014846751767384
Vs,141405842,4.014838054514209
수,137855784,4.0145889504806025
m,135481945,4.014417875127667
😪,135481945,4.014417875127667
😬,134895036,4.014375001614135
c,134539464,4.0143489139132695
Ch,134539464,4.0143489139132695
🐾,129565461,4.01397471491868
小米,128557767,4.01389672117136
drama,127988688,4.013852337932969
位置,125519216,4.013656850183492
app,125156218,4.013627710546158
VI,123663873,4.013506796126231
🧳,122691330,4.013427014357511
ch,120516015,4.013245674767141
Show,120516015,4.013245674767141
en,119983076,4.0132006246949965
H,119983076,4.0132006246949965
Man,118242213,4.013051710692442
