,words,tot_view
0,shorts,57642500748
1,10,7181150600
2,🔥,7114199477
3,Shorts,4721869320
4,做,4499521845
5,搞笑,4025358601
6,😱,3877842320
7,😂,3713818704
8,ft,3586252317
9,2023,3393686592
10,中,3342501942
11,100,3051989005
12,米,2656860518
13,라,2302697943
14,爸爸,1971219094
15,진,1716746611
16,‼,1693668760
17,스,1627616114
18,死,1608743376
19,家庭,1585545793
20,🤯,1578029808
21,x,1562095216
22,20,1508305152
23,日,1481737320
24,軍,1397066616
25,中国,1371282848
26,12,1353922784
27, ,1298114636
28,11,1221173100
29,❤,1106967078
30,00,1077172590
31,Q,1059576760
32,리,986870547
33,는,986870547
34,爆,973713096
35,요,970335041
36,太,963004450
37,ا,948971227
38,50,912572304
39,60,902808396
40,D,897643825
41,2022,883536363
42,🤣,881847120
43,😳,880863503
44,找,878634512
45,🙈,877154230
46,⚽,877154230
47,萌娃,857051780
48,科普,857051780
49,家,814199191
50,💔,812891670
51,😭,797218642
52,ل,795084001
53,K,759103385
54,I,759103385
55,C,718115060
56,30,715130246
57,AI,705540444
58,岁,685641424
59,14,677102568
60,feat,658597731
61,게,657913698
62,笑,654843026
63,🤩,625443240
64,🥹,618969784
65,V,618319365
66,吃,608588174
67,기,592528783
68,Mr,571552812
69,fyp,567823200
70,父子,557083657
71,X,554896405
72,女,551441933
73,주,548261415
74,搞,539282492
75,브,530016604
76,👨,529081182
77,娃,514231068
78,手,508024224
79,Vision,507408545
80,後,503818446
81,FULL,494188050
82,56,488154755
83,新聞,487562169
84,MV,487034647
85,事,482249265
86,黃,476997290
87,🚀,471208984
88,l,464858877
89,i,464858877
90,😆,464227338
91,P,455462031
92,장,447846942
93,카,445882500
94,23,439922336
95,送,432361410
96,💥,431193280
97,救,428525890
98,시,426656540
99,小子,423353520
100,ي,410365936
101,세,408864258
102,整,404461869
103,You,403618392
104,🇵,394194234
105,✈,394000508
106,VS,391691580
107,👏,391370805
108,25,391102416
109,funny,386856115
110,父,385673301
111,子,385673301
112,ー,383467392
113,時,382473555
114,神,381018168
115,티,377063771
116,꽃,374325800
117,🇳,371531232
118,트,366395180
