,words,tot_view
0,shorts,39822910463
1,10,5026805420
2,🔥,4703602960
3,搞笑,3582376554
4,做,3385354531
5,Shorts,2930815440
6,ft,2844269079
7,100,2333873945
8,😂,2321136690
9,中,2271187217
10,米,1928366505
11,라,1864088811
12,😱,1765986240
13,爸爸,1499840615
14,家庭,1328430259
15,🤯,1112256518
16,스,1061488770
17,는,986870547
18,00,897643825
19,11,895526940
20,中国,857051780
21,12,824126912
22,ا,820731872
23,💔,812891670
24,60,773835768
25,리,767565981
26,ل,743788259
27, ,741779792
28,Q,741703732
29,❤,737978052
30,50,717021096
31,🙈,701723384
32,太,693363204
33,軍,690355688
34,萌娃,685641424
35,家,642788835
36,日,627596080
37,⚽,614007961
38,2023,607570890
39,😳,602696081
40,😭,579795376
41,🥹,541598561
42,C,538586295
43,找,533456668
44,👨,529081182
45,30,526938076
46,🤩,521202700
47,科普,514231068
48,父子,514231068
49,岁,514231068
50,fyp,496845300
51,V,494655492
52,브,489246096
53,feat,478980168
54,AI,470360296
55,i,464858877
56,笑,462242136
57,주,438609132
58,게,438609132
59,기,430930024
60,吃,430464806
61,救,428525890
62,K,425773680
63,🚀,412307861
64,세,408864258
65,搞,404461869
66,You,403618392
67,P,403618392
68,Mr,396911675
69,😆,386856115
70,父,385673301
71,카,382185000
72,I,370991619
73,💥,369594240
74,整,365941691
75,đ,364841890
76,20,364542534
77,공,361631790
78,b,361548045
79,x,359720096
80,D,359057530
81,Vision,347937288
82,娃,342820712
83,시,341325232
84,꽃,336893220
85,ي,333422323
86,送,332585700
87,事,332585700
88,X,326409650
89,ó,325646160
90,✈,322364052
91,🤣,317932511
92,😅,313807624
93,ng,309905918
94,l,309905918
95,g,309905918
96,M,309905918
97,funny,309484892
98,م,307774452
99,ر,307774452
100,ب,307774452
101,🍳,302332104
102,喜剧,299968123
103,✨,299453650
104,정,296864820
105,국,296864820
106,23,294331040
107,🏼,286030576
108,時,282697845
109,神,282418236
110,ة,282126581
111,ー,278885376
112,超級,269641246
113,티,269331265
114,MV,265655262
115,日本,262092632
116,生活,258048289
117,普,257115534
118,子,257115534
119,ت,256478710
120,드,255993924
121,手,251038432
122,小子,251038432
123,話,242520798
124,後,242111376
125,🤔,241581171
126,超,231121068
127,整個,231121068
128,VS,228486755
129,🏻,225465688
130,世界,224633586
131,퀸,222941250
132,틴,220997205
133,븐,220997205
134,🙏,217248192
135,대,215465012
136,呆,214262945
137,ChefRush,211915352
138,路,211860979
139,系列,199551420
140,👆,198294044
141,中國,197518011
142,😍,196598725
143,25,195551208
144,🚨,193470936
145,🇷,193214099
146,요,192014600
147,位,188278824
148,💕,187723744
149,JISOO,187162900
150,CIA,179617563
151,و,179535097
152,ع,179535097
153,Do,179528765
154,지,175452816
155,級,173340801
156,期,173340801
157,진,172560778
158,뉴,172560778
159,트,168012775
160,르,168012775
161,RE,167824428
162,👏,167730345
163,全,166292850
164,14,164171750
165,🐶,163091423
166,ñ,162823080
167,♀,162760536
168,live,158861751
169,😡,158210840
170,💯,156360810
171,ị,156360810
172,ú,156360810
173,t,154952959
174,short,154952959
175,n,154952959
176,ه,153887226
177,ن,153887226
178,ح,153887226
179,FLOWER,149730320
180,OP,148588045
181,旅行,146557950
182,YouTube,145672965
183,香港,145316530
184,👠,144948844
185,파,144705820
186,01,144359666
187,狗,142879482
188,19,141696120
189,프,141531836
190,워,141531836
191,Vs,141405842
192,新聞,139482927
193,수,137855784
194,다,137855784
195,月,137524750
196,😪,135481945
197,v,135481945
198,m,135481945
199,d,135481945
200,N,135481945
201,😬,134895036
202,跑,134801345
203,c,134539464
204,Ch,134539464
205,美,133267440
206,女,133267440
207,分,133034280
208,完整版,131688324
209,🐾,129565461
210,♂,128980624
211,老爸,128557767
212,小米,128557767
213,س,128239355
214,엔,127996962
215,림,127996962
216,drama,127988688
217,年,126134720
218,位置,125519216
219,app,125156218
220,소,124552232
