,words,tot_view
0,shorts,11422821267
1,🔥,1991220637
2,2023,1571151200
3,😱,1348814720
4,😂,997526754
5,死,889042392
6,2022,850812794
7,x,781047608
8,10,760280472
9,진,746411570
10,Shorts,667475004
11,日,550359576
12,‼,544393530
13,軍,465688872
14,🤯,460258694
15,D,455462031
16,요,373205785
17,20,314230240
18,S,303641354
19,I,303641354
20,ft,296512830
21,❤,276993115
22, ,245682096
23,😳,229704240
24,🟨,223936076
25,tiktok,195261902
26,64,195261902
27,黃,192037870
28,50,190070118
29,100,190070118
30,女,179539234
31,X,172426954
32,狙擊,169341408
33,爆,169341408
34,🎁,168601840
35,OMG,168601840
36,t,151820677
37,l,151820677
38,W,151820677
39,T,151820677
40,R,151820677
41,K,151820677
42,C,151820677
43,짜,149282314
44,까,149282314
45,🤭,142107111
46,스,141637296
47,竟是,141066541
48,新聞,133466739
49,子,127006056
50,31,125692096
51,23,125692096
52,👽,124736554
53,🇳,123843744
54,後,120115656
55,錢,117114018
56,14,112850428
57,N,111968038
58,🤣,110230890
59,트,109918554
60,MV,108849784
61,年,104436948
62,關鍵,102593848
63,😙,97630951
64,short,97630951
65,ratinobeatbox7897,97630951
66,Sigma,97630951
67,12,92391885
68,時刻,89769617
69,時,89769617
70,吃,89095261
71,一個,85683318
72,手,84670704
73,小子,84670704
74,無,80532010
75,做,79203285
76,前,78141756
77,女孩,76945386
78,funny,76257806
79,Gi,76257806
80,MC,74720150
81,장,74641157
82,은,74641157
83,난,74641157
84,감,74641157
85,dee,74368498
86,d,74368498
87,방,71860355
88,뉴,70818648
89,中,69710725
90,😁,68287680
91,👏,67255437
92,🥢,65751242
93,22,65447138
94,主持,64741961
95,😭,64348191
96,V,63356706
97,500,63356706
98,00,63356706
99,J,62846048
100,🪫,62368277
101,老婆,61947700
102,🇮,61921872
103,송,61594590
104,VS,61353205
105,😡,60731028
106,🏻,60668256
107,🥰,60263300
108,기,59048652
109,完,58606317
110,feat,58568649
111,🗿,58481354
112,🍷,58481354
113,羅,56965608
114,🫡,56425214
115,vi,56425214
116,v,56425214
117,Chris,56425214
118,🇵,56313462
119,香港,54659064
120,드,54424892
121,交通安全,51997708
122,關,51296924
123,世界,50320920
124,中國,50162605
125,說,49844907
126,FULL,49418805
127,XX,48734212
128,high,48566357
129,想,47471340
130,米,46711644
131,Q,46392018
132,日本,46021086
133,❄,44836958
134,完整版,44137485
135,😨,43538218
