UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1,2023/9/7,全國,全區,2,10241523,0.43
4,2023/9/5,全國,全區,1,10241521,0.14
7,2023/8/7,全國,全區,1,10241520,0.14
10,2023/7/25,全國,全區,6,10241519,2
15,2023/7/24,全國,全區,4,10241513,1.14
22,2023/7/21,全國,全區,3,10241509,0.71
28,2023/7/20,全國,全區,1,10241506,0.29
31,2023/7/17,全國,全區,1,10241505,0.29
34,2023/7/13,全國,全區,1,10241504,0.29
37,2023/7/7,全國,全區,1,10241503,0.29
40,2023/7/3,全國,全區,1,10241502,0.57
43,2023/6/30,全國,全區,1,10241501,0.43
46,2023/6/27,全國,全區,2,10241500,0.43
51,2023/6/21,全國,全區,1,10241498,0.86
54,2023/6/17,全國,全區,3,10241497,239.71
57,2023/6/16,全國,全區,1,10241494,239.29
60,2023/6/15,全國,全區,1,10241493,239.14
63,2023/6/14,全國,全區,1673,10241492,239.14
265,2023/6/8,全國,全區,1,10239819,0.57
268,2023/6/7,全國,全區,1,10239818,0.71
271,2023/6/5,全國,全區,1,10239817,0.57
274,2023/6/2,全國,全區,1,10239816,0.43
277,2023/6/1,全國,全區,2,10239815,0.29
281,2023/5/25,全國,全區,1,10239813,0.14
284,2023/5/17,全國,全區,1,10239812,6.57
287,2023/5/16,全國,全區,36,10239811,6.57
297,2023/5/15,全國,全區,4,10239775,1.43
304,2023/5/12,全國,全區,5,10239771,2.29
311,2023/5/10,全國,全區,1,10239766,1.71
314,2023/5/8,全國,全區,10,10239765,1.71
323,2023/5/4,全國,全區,1,10239755,0.43
326,2023/5/3,全國,全區,1,10239754,0.29
329,2023/4/28,全國,全區,1,10239753,0.14
332,2023/4/21,全國,全區,2,10239752,0.57
335,2023/4/19,全國,全區,2,10239750,0.43
340,2023/4/14,全國,全區,1,10239748,0.14
343,2023/4/6,全國,全區,1,10239747,0.14
346,2023/3/25,全國,全區,4,10239746,1220.86
355,2023/3/24,全國,全區,14,10239742,2422.57
373,2023/3/23,全國,全區,25,10239728,3566.71
402,2023/3/22,全國,全區,54,10239703,4765.29
449,2023/3/21,全國,全區,267,10239649,6051.86
585,2023/3/20,全國,全區,2643,10239382,7468.86
869,2023/3/19,全國,全區,5539,10236739,8531.71
1197,2023/3/18,全國,全區,8416,10231200,8679.57
1537,2023/3/17,全國,全區,8023,10222784,8775.71
1889,2023/3/16,全國,全區,8415,10214761,8860.86
2242,2023/3/15,全國,全區,9060,10206346,8957.71
2593,2023/3/14,全國,全區,10186,10197286,9032.14
2950,2023/3/13,全國,全區,10083,10187100,9156.43
3309,2023/3/12,全國,全區,6574,10177017,9292
3654,2023/3/11,全國,全區,9089,10170443,9364
4007,2023/3/10,全國,全區,8619,10161354,9537.43
4362,2023/3/9,全國,全區,9093,10152735,9934
4721,2023/3/8,全國,全區,9581,10143642,10607.57
5075,2023/3/7,全國,全區,11056,10134061,11252.86
5434,2023/3/6,全國,全區,11032,10123005,11417.86
5799,2023/3/5,全國,全區,7078,10111973,11287.14
6138,2023/3/4,全國,全區,10303,10104895,11382
6490,2023/3/3,全國,全區,11395,10094592,11779.43
6849,2023/3/2,全國,全區,13808,10083197,12083.29
7213,2023/3/1,全國,全區,14098,10069389,12030.29
7584,2023/2/28,全國,全區,12211,10055291,12071.14
7947,2023/2/27,全國,全區,10117,10043080,12680.43
8306,2023/2/26,全國,全區,7742,10032963,13699.57
8651,2023/2/25,全國,全區,13085,10025221,14315.86
9021,2023/2/24,全國,全區,13522,10012136,14713.29
9382,2023/2/23,全國,全區,13437,9998614,14930.71
9752,2023/2/22,全國,全區,14384,9985177,15214.14
10127,2023/2/21,全國,全區,16476,9970793,15551
10496,2023/2/20,全國,全區,17251,9954317,16033.43
10876,2023/2/19,全國,全區,12056,9937066,16498.71
11234,2023/2/18,全國,全區,15867,9925010,16583.57
11601,2023/2/17,全國,全區,15044,9909143,16771.43
11973,2023/2/16,全國,全區,15421,9894099,17235.57
12348,2023/2/15,全國,全區,16742,9878678,17835.43
12721,2023/2/14,全國,全區,19853,9861936,18431
13093,2023/2/13,全國,全區,20508,9842083,19057.14
13472,2023/2/12,全國,全區,12650,9821575,19468.14
13829,2023/2/11,全國,全區,17182,9808925,20037
14201,2023/2/10,全國,全區,18293,9791743,20865.43
14575,2023/2/9,全國,全區,19620,9773450,21642.57
14951,2023/2/8,全國,全區,20911,9753830,22476.71
15330,2023/2/7,全國,全區,24236,9732919,23357.29
15709,2023/2/6,全國,全區,23385,9708683,24437
16091,2023/2/5,全國,全區,16632,9685298,25706.14
16459,2023/2/4,全國,全區,22981,9668666,26514
16838,2023/2/3,全國,全區,23733,9645685,27137.57
17224,2023/2/2,全國,全區,25459,9621952,27665.57
17607,2023/2/1,全國,全區,27075,9596493,27506.57
17984,2023/1/31,全國,全區,31794,9569418,26372.57
18369,2023/1/30,全國,全區,32269,9537624,24189.43
18758,2023/1/29,全國,全區,22287,9505355,21700.86
19134,2023/1/28,全國,全區,27346,9483068,20040.14
19513,2023/1/27,全國,全區,27429,9455722,18874
19891,2023/1/26,全國,全區,24346,9428293,17966.57
20268,2023/1/25,全國,全區,19137,9403947,17090.29
20633,2023/1/24,全國,全區,16512,9384810,16984.57
21008,2023/1/23,全國,全區,14849,9368298,17627.71
21375,2023/1/22,全國,全區,10662,9353449,18358.71
21739,2023/1/21,全國,全區,19183,9342787,19068.57
22111,2023/1/20,全國,全區,21077,9323604,19365.57
22478,2023/1/19,全國,全區,18212,9302527,19269.43
22849,2023/1/18,全國,全區,18397,9284315,19772.29
23221,2023/1/17,全國,全區,21014,9265918,20416.71
23585,2023/1/16,全國,全區,19966,9244904,21075.29
23961,2023/1/15,全國,全區,15631,9224938,21801.71
24328,2023/1/14,全國,全區,21262,9209307,22041
24696,2023/1/13,全國,全區,20404,9188045,22346.86
25064,2023/1/12,全國,全區,21732,9167641,22919.71
25439,2023/1/11,全國,全區,22908,9145909,23767.71
25815,2023/1/10,全國,全區,25624,9123001,24996.29
26187,2023/1/9,全國,全區,25051,9097377,26172.14
26566,2023/1/8,全國,全區,17306,9072326,26164.43
26923,2023/1/7,全國,全區,23403,9055020,26063
27294,2023/1/6,全國,全區,24414,9031617,26345.71
27670,2023/1/5,全國,全區,27668,9007203,26536.71
28050,2023/1/4,全國,全區,31508,8979535,26495.29
28431,2023/1/3,全國,全區,33855,8948027,25982.86
28813,2023/1/2,全國,全區,24997,8914172,25167.86
29184,2023/1/1,全國,全區,16596,8889175,25094.86
29546,2022/12/31,全國,全區,25382,8872579,24757.14
29912,2022/12/30,全國,全區,25751,8847197,23662.86
30284,2022/12/29,全國,全區,27378,8821446,22563.71
30657,2022/12/28,全國,全區,27921,8794068,21376.14
31027,2022/12/27,全國,全區,28150,8766147,20226.86
31404,2022/12/26,全國,全區,24486,8737997,18939.86
31776,2022/12/25,全國,全區,14232,8713511,17887.57
32130,2022/12/24,全國,全區,17722,8699279,17334.86
32490,2022/12/23,全國,全區,18057,8681557,16962.86
32854,2022/12/22,全國,全區,19065,8663500,16614
33221,2022/12/21,全國,全區,19876,8644435,16088.86
33591,2022/12/20,全國,全區,19141,8624559,15545.14
33954,2022/12/19,全國,全區,17120,8605418,15333
34325,2022/12/18,全國,全區,10363,8588298,15338
34673,2022/12/17,全國,全區,15118,8577935,15408
35033,2022/12/16,全國,全區,15615,8562817,15259
35398,2022/12/15,全國,全區,15389,8547202,15066.43
35769,2022/12/14,全國,全區,16070,8531813,14918.14
36128,2022/12/13,全國,全區,17656,8515743,14805
36502,2022/12/12,全國,全區,17155,8498087,14672.86
36874,2022/12/11,全國,全區,10853,8480932,14511
37225,2022/12/10,全國,全區,14075,8470079,14423
37594,2022/12/9,全國,全區,14267,8456004,14270.71
37959,2022/12/8,全國,全區,14351,8441737,14109
38332,2022/12/7,全國,全區,15278,8427386,14068.71
38704,2022/12/6,全國,全區,16731,8412108,14120.14
39075,2022/12/5,全國,全區,16022,8395377,14261.14
39453,2022/12/4,全國,全區,10237,8379355,14440.14
39819,2022/12/3,全國,全區,13009,8369118,14499.71
40188,2022/12/2,全國,全區,13135,8356109,14541.43
40558,2022/12/1,全國,全區,14069,8342974,14560
40927,2022/11/30,全國,全區,15638,8328905,14575.14
41298,2022/11/29,全國,全區,17718,8313267,14632.71
41678,2022/11/28,全國,全區,17275,8295549,14655.29
42056,2022/11/27,全國,全區,10654,8278274,14781.43
42417,2022/11/26,全國,全區,13301,8267620,14959.57
42773,2022/11/25,全國,全區,13265,8254319,15377.29
43144,2022/11/24,全國,全區,14175,8241054,15848.14
43514,2022/11/23,全國,全區,16041,8226879,16393.71
43886,2022/11/22,全國,全區,17876,8210838,16975.57
44259,2022/11/21,全國,全區,18158,8192962,17660.71
44642,2022/11/20,全國,全區,11901,8174804,17714.86
45005,2022/11/19,全國,全區,16225,8162903,18387.57
45379,2022/11/18,全國,全區,16561,8146678,18726.57
45751,2022/11/17,全國,全區,17994,8130117,19105
46124,2022/11/16,全國,全區,20114,8112123,19432.71
46504,2022/11/15,全國,全區,22672,8092009,19747.57
46885,2022/11/14,全國,全區,18537,8069337,20057.86
47266,2022/11/13,全國,全區,16610,8050800,20974.43
47636,2022/11/12,全國,全區,18598,8034190,20965.57
48013,2022/11/11,全國,全區,19210,8015592,21786
48392,2022/11/10,全國,全區,20288,7996382,22691.43
48775,2022/11/9,全國,全區,22318,7976094,23733.29
49158,2022/11/8,全國,全區,24844,7953776,24825.86
49543,2022/11/7,全國,全區,24953,7928932,26013
49928,2022/11/6,全國,全區,16548,7903979,27341.57
50297,2022/11/5,全國,全區,24341,7887431,28208.57
50672,2022/11/4,全國,全區,25548,7863090,29235.57
51058,2022/11/3,全國,全區,27581,7837542,30226.86
51438,2022/11/2,全國,全區,29966,7809961,31225.14
51824,2022/11/1,全國,全區,33154,7779995,32037.14
52209,2022/10/31,全國,全區,34253,7746841,33055.14
52592,2022/10/30,全國,全區,22617,7712588,33754.14
52971,2022/10/29,全國,全區,31530,7689971,34283.43
53350,2022/10/28,全國,全區,32487,7658441,34827.71
53737,2022/10/27,全國,全區,34569,7625954,35274
54124,2022/10/26,全國,全區,35650,7591385,35654.14
54508,2022/10/25,全國,全區,40280,7555735,36243.86
54897,2022/10/24,全國,全區,39146,7515455,36859.57
55287,2022/10/23,全國,全區,26322,7476309,37675.29
55664,2022/10/22,全國,全區,35340,7449987,38032.86
